TARIFF	DESCRIPTION EN	DESCRIPTION TH	%	S	REMARK
SECTION 1	LIVE ANIMALS; ANIMAL PRODUCTS	สัตว์มีชีวิต ผลิตภัณฑ์จากสัตว์	
- Frozen :	สัตว์น้ำจำพวกครัสตาเซีย จะเอาเปลือกออกหรือไม่ก็ตาม มีชิวิต สด แช่เย็น แช่ย็นจนแข็ง แห้ง ใส่เกลือ และสัตว์น้ำจำพวกครัสตาเซียที่ยังไม่เอาเปลือกออกซึ่งทำให้สุกโดยการนึ่งหรือต้ม จะแช่เย็น แช่เย็นจนแข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือหรือไม่ก็ตามรวมทั้งสัตว์นำจำพวกครัสตาเซียที่ป่น และที่ทำเป็นเพลเลตซึ่งเหมาะสำหรับมนุษย์บริโภค
- แช่เย็นจนแข็ง	
0307	Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption.	สัตว์น้ำจำพวกโมลลุสก์ จะเอาเปลือกออกหรือไม่ก็ตาม มีชีวิต สด แช่เย็น แช่เย็นจนแข็ง แห้ง เกลือ หรือแช่น้ำเกลือ และสัตว์น้ำที่ไม่มีกระดูกสันหลังนอกจากสัตว์น้ำจำพวกครัสตาเซีย และโมลลุสก์ มีชีวิต สด แช่เย็น แช่เย็นจนแข็ง แห้ง ใส่เกลือ หรือ แช่น้ำเกลือ รวมทั้งสัตว์น้ำที่ไม่มีกระดูกสันหลัง นอกจากสัตว์น้ำจำพวกครัสตาเซีย ที่ป่นและที่ทำเป้นเพลเลตซึ่งเหมาะสำหรับมนุษย์บริโภค	
 CHAPTER 04	Dairy produe; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.	ผลิตภัณฑ์นม ไข่สัตว์ปีก น้ำผึ้งธรรมชาติ ผลิตภัณฑ์จากสัตว์ที่บริโภคได้ ซึ่งไม่ได้ระบุหรือรวมไว้ในที่อื่น	
0401	Milk and cream, not concentrated nor containing added sugar or other sweetening matter	นมและครีม ที่ไม่ทำให้เข้มข้น และไม่เติมน้ำตาล หรือสารทำให้หวานอื่นๆ	
0402	Milk and cream, concentrated or containing added sugar or other sweetening matter.	นมและครีม ที่ทำให้เข้มข้น หรือเติมน้ำตาล หรือสารทำให้หวานอื่นๆ	
0403	Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.	บัตเตอร์มิลค์ นมและครีมชนิดเคอร์เดิล โยเกิร์ต เคเฟอร์ รวมทั้งนมและครีมที่หมักหรือทำให้เปรี้ยวอย่างอื่น จะทำให้เข้มข้น เติมน้ำตาลหรือสารทำให้หวานอื่นๆ ปรุงกลิ่นรส เติมผลไม้ ลูกนัต หรือ โกโก้ หรือไม่ก็ตาม	
0404	Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.
- Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter	หางนม (เวย์) จะทำให้เข้มข้น หรือเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม ผลิตภัณฑ์ที่มีองค์ประกอบของนมธรรมชาติ จะเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น
- หางนม (เวย์) และหางนมดัดแปลง (โมดิไฟด์เวย์) จะทำให้เข้มข้นหรือเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม	
0405	Butter and other fats and oils derived from milk; dairy spreads.	เนย ไขมันและน้ำมันอื่นๆ ที่ได้จากนม รวมทั้งเดรีสเปรด	
0406	Cheese and curd	เนยแข็งและเคิร์ต	
0407	Birds' eggs, in shell, fresh, preserved or cooked:	ไข่สัตว์ปีก ทั้งเปลือก สด ทำไว้ไม่ให้เสียหรือทำให้สุก	
0408	Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or other wise preserved, whether or not containing added sugar or other sweetening matter.	ไข่สัตว์ปีกที่เอาเปลือกออกแล้วและไข่แดง สด แห้ง ทำให้สุกโดยการนึ่ง หรือต้ม หล่อหรืออัดเป้นรูป แช่เย็นจนแข็ง หรือทำไว้ไม่ให้เสียโดยวิธีอื่น จะเติมน้ำตามหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตาม	
0409	Natural honey.	น้ำผึ้งธรรมชาติ	
0410	Edible products of animal origin, not esewhere specified or included.	ผลิตภัณฑ์จากสัตว์ที่ริโภคได้ ซึ่งไม่ได้ระบุหรือรวมไว้ในที่อื่น	
 CHAPTER 05	Products of animal origin, not elsewhere specified or inoluded.	ผลิตภัณฑ์จากสัตว์จากสัตว์ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น	
0501	Human hair, unworked, whether or not washed or scoured; waste of human hair.	ผมคนที่ยังไม่ได้จัดทำ จะล้างหรือแปรงแล้วหรือไม่ก็ตาม รวมทั้งเศษผมคน	
0502	Pig', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.	ขนหมู ขนแบดเจอร์ และขนสัตว์อื่นๆ ที่ใช้ทำแปรง รวมทั้งเศษของขนดังกล่าว	
0504	Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.	ใส้ ถุงกระเพาะ (แบลดเดอร์) และกระเพาะอาหารของสัตว์ (นอกจากของปลา) ทั้งอันหรือแบ่งเป้นชิ้น สด แช่เย็น แช่เย็นจนแข็ง ใส่เกลือ แช่น้ำเกลือ แห้งหรือรมควัน	
0505	Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (wheher or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers.	หนังและส่วนอื่นของสัตว์ปีก ที่มีขนแข็งหรือขนอ่อนติด ขนแข็งและส่วนของขนแข็ง (จะแต่งริมหรือไม่ก็ตาม) และขนอ่อนที่ไม่ไดจัดทำมากไปกว่าทำความสะอาด ฆ่าเชื้อโรค หรือทำไว้ไม่ให้เสีย รวมทั้งผลและเศษของขนแข็งหรือส่วนของขนแข็ง	
0506	Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste fo these products.	กระดูกและแก่นเขาสัตว์ ที่ยังไม่ได้จัดทำ เอาไขมันออก จัดทำอย่างง่ายๆ (แต่ไม่ได้ตัดเป็นรูปทรง) ผ่านกรรมวิธีโดยใช้กรด หรือเอาเยลาตินออกรวมทั้งผงและเศษของผลผลิตของผลิตภัณฑ์เหล่านี้	
0507	Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products.	เขี้ยวงา กระดองสัตว์จำพวกเต่า เวลโบน เวลโบนแฮร์ เขา กีบ เล็บ กงเล็บ และจงอยปาก ที่ยังไม่ได้จัดทำหรือจัดทำอย่างง่ายๆ แต่ไม่ได้ตัดเป็นรูปทรง รวมทั้งผงและเศษของผลิตภัณฑ์เหล่านี้	
0508	Coral and similar materials, unworked or simply prepared but nut otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.	หินปะการังและสิ่งที่คล้ายกัน ที่ยังไม่ได้จัดทำหรือจัดทำอย่างง่ายๆ แต่ต้องไม่จัดทำมากไปกว่านี้ เปลือกของสัตว์น้ำจำพวกโมลลุสก์ ครัสตาเซียหรือเอคไคโนเดิร์ม และลิ้นทะเล ที่ยังไม่ได้จัดทำหรือจัดทำอย่างง่ายๆ แต่ไม่ได้ตัดเป็นรูปทรง รวมทั้งผลและเศษของสิ่งดังกล่าว	
0510	Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen orotherwise provisionally preserved.	อำพันขี้ปลา คาสโตเรียม ชะมดเช็ด ชะมดเชียง แมลงวันสเปน ดีสัตว์ จะแห้งหรือไม่ก็ตาม รวมทั้งต่อมและผลิตภัณฑ์อื่นๆ ของสัตว์ที่ใช้ในการทำผลิตภัณฑ์ทางสัชกรรม สด แช่เย็น แช่เย็นจนแข็ง หรือทำไว้ไม่ให้เสียชั่วกราวโดยวิธีอื่น	
0511	Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.	ผลิตภัณฑ์สัตว์ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น รวมทั้งสัตว์ในตอนที่ 1 หรือ 3 ที่ไม่มีชีวิตและไม่เหมาะสำหรับมนุษย์บริโภค	
SECTION 2	VEGETABLE PRODUCTS	ผลิตภัณฑ์จากพืช	
 CHAPTER 06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.	ต้นไม้และพืชอื่นๆ ที่มีชีวิต หัว รากและสิ่งที่คล้ายกัน ดอกไม้และใบไม้ที่ใช้ประดัย	
0601	Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormat, in growth or in flower; chicory plants and roots other than roots of heading 12.12	หัว หน่อ แขนง เหง้า ตุ่มตา และแง่ง ที่ยังไม่งอก ที่งอก หรือมีดอกต้น และรากชิโครี่นอกจากรากตามประเภทที่ 12.12	
0602	Other live plants (including their roots), cutting and slips; mushroom spawn.	พืชมีชีวิตอื่นๆ (รวมถึงราก) กิ่งชำ กิ่งตอน และส่าเห็ด	
0603	Cut flowers and flower buds of a kin suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.	ดอกไม้ชนิดที่เหมาะสำหรับจัดทำเป็นช่อดอกไม้หรือเพื่อการประดับ สด แห้ง ย้อมสี ฟอก อาบซึม หรือจัดทำโดยวิธีอื่น	
0604	Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.	ใบไม้ กิ่งไม้ และส่วนอื่นๆของพืช ที่ไม่มีดอกติด หญ้า มอส และไลเคน ที่เหมาะสำหรับจัดทำเป็นช่องดอกไม้หรือเพื่อการประดับ สด แห้ง ย้อมสี ฟอก อาบซึม หรือจัดทำโดยวิธีอื่น	
 CHAPTER 07	Edible vegetables and certain roots and tubers.	พืชผักรวมทั้งรากและหัวบางชนิดที่บริโภคได้	
0701	Potatoes, fresh or chilled.	มันผรั่ง สดหรือแช่เย็น	
0702	Tomatoes, fresh or chilled	มะเขือเทศ สดหรือแช่เย็น	
0703	Onions, shallots, garlic, leek and other alliaceous vegetables, fresh or chilled.	หอมหัวใหญ่ หอมหัวเล็ก กระเทียม ลีกและพืชจำพวกหอมกระเทียมอื่นๆ สดหรือแช่เย็น	
0704	Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.	กะหล่ำปลี กะหล่ำดอก กะหล่ำปม เคลและพืชที่คล้ายกัน ในตระกูล บราสซิกาซึ่งบริโภคได้ สดหรือแช่เย็น	
0705	Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.	ผักกาดหอม (แล็กตูกาซาติวา) และชิกโครี่ (ชนิดชิโคเรี่ยม) สด หรือแช่เย็น	
0706	Carrots, turnips, salad betroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.	แคร์รอต เทอร์นิป หัวบีตที่ใช้ทำสลัด ซัลซิฟาย โซเลริแอก หัวผักกาดขาว และหัวของพืชที่คล้ายกัน ซึ่งบริโภคได้ สดหรือแช่เย็น	
0707	Cucumbers and gherkins, fresh or chilled.	แตงร้านและแตงกวา สดหรือแช่เย็น	
0708	Leguminous vegetables, shelled or unshelled, fresh or chilled.	พืชผักตระกูลถั่ว เอาเปลือกออกหรือไม่ก็ตาม สดหรือแช่เย็น	
0709	Other vegetables, fresh or chilled.	พืชผักอื่นๆ สดหรือแช่เย็น	
0710	Vegetables (uncooked ro cooked by steaming or boiling in water), frozen	พืชผัก (ดิบหรือทำให้สุกดดยการนึ่งหรือต้ม) แช่เย็นจนแข็ง	
0711	Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitabel in that state for immediate consumption.	พืชผักที่ทำไว้ไม่ให้เสียชั่วคราว (เช่น รมด้วยก๊าซซัลเฟอร์ไดออกไซด์ แช่น้ำเกลือ แช่น้ำกำมะถัน หรือแช่น้ำยากันเสียอื่นๆ) ในสภาพที่ไม่เหมาะสำหรับบริโภคทันที	
0712	Dried vegetables, whole, cut sliced, broken or in powder, but not further prepared.	พืชผักแห้ง ทั้งต้นหรือทั้งหัว ตัดฝาน ทำให้แตก หรือเป็นผง แต่ต้องไม่จัดทำมากไปกว่านี้	
0713	Dried leguminous vegetables, shelled, whether or not skinned or split.	พืชผักตระกูลถั่ว แห้งและเอาเปลือกออก จะลอกเยื่อหรอืทำให้แยกจากกันหรือไม่ก็ตาม	
0714	Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in therform of pellets; sago pith.	มันสำปะหลัง รากสามสิบ สาเลป เยรูซาเลมอาร์ติโชก มันเทศ และรากหรือหัวที่คล้ายกัน ซึ่งมีปริมาณของ สตาร์ชหรืออินูลินสูง สด แช่เย็น แช่เย็นจนแข็ง หรือ แห้ง จะผ่านหรือทำเป็นเพลเลตหรือไม่ก็ตาม รวมทั้งเนื้อในของต้นสาคู	
 CHAPTER 08	Edible fruit and nuts; peel of citrus fruit or melons.	ผลไม้และลูกนัตที่บริโภคได้ เปลือกผลไม้จำพวกส้มหรือเปลือกแต่ง	
0801	Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.	มะพร้าว บราซิลนัตและเมล็ดมะม่วงหิมพานต์ สดหรือแห้ง จะเอาเปลือกออกหรือไม่ก็ตาม	
0802	Other nuts, fresh or dried, whether or not shelled or peeled.
- Almonds:	ลูกนัตอื่นๆ สดหรือแห้ง จะเอาเปลือกออกหรือไม่ก็ตาม
- เมล็ดอัลมอนด์	
0803	Bananas, including plantains, fresh or dried.	กล้วยรวมถึงกล้วย สดหรือแห้ง	
0804	Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.	อินทผลัม มะเดื่อ สับปะรด อโวกาโด ฝรั่ง มะม่วงและมังคุด สดหรือแห้ง	
0805	Citrus fruits, fresh or dried.	ผลไม้จำพวก สดหรือ แห้ง	
0806	Grapes, fresh or dried.	องุ่น สดหรือแห้ง	
0807	Melons (including watermelons) and papaws (papayas), fresh
- Melon (including watermelons) :	แตง (รวมถึงแตงโม) และมะละกอ สด
- แตง รวมถึงแตงโม	
0808	Apples, pears and quinces, fresh.	แอปเปิ้ล แพร์และควินซ์ สด	
0809	Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.	แอปริคอต เชอร์รี่ ท้อ (รวมทั้ง เนกทารีน) พลัมและสโล สด	
0810	Other fruit, fresh.	ผลไม้อื่นๆ สด	
0811	Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.	ผลไม้และลูกนัต ดิบหรือทำให้สุกโดยการนึ่งหรือต้ม แช่เย้นจนแข็ง จะเติมน้ำตาลหรือสารทำให้หวานอื่นๆ หรือไม่ก็ตา	
0812	Fruit and nuts, provisionally preserved (for example, by sulhur dioxide gas, in sulphur water or in other preservative solutions), but usuitable in that state for immediate consumption.	ผลไม้และลูกนัตที่ทำไว้ไม่ให้เสียชั่วคราว (เช่น รมด้วยก๊าซซัลเฟอร์ไดออกไซด์ แช่น้ำเกลือ แช่น้ำกำมะถัน หรือน้ำยากันเสียอื่นๆ) ในสภาพที่ไม่เหมาะสำหรับบริโภคทันที	
0813	Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this chapter.	ผลไม้แห้ง นอกจากผลไม้ตามประเภทที่ 08.01 ถึง 08.06 รวมทั้งลูกนัตหรือผลไม้แห้งในตอนนี้ผสมกัน	
0814	Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.	เปลือกผลไม้จำพวกส้มหรือเปลือกแดง (รวมถึงแตงโม) สดแช่เย็นจนแข็ง แห้ง หรือทำไว้ไม่ให้เสียชั่วคราวดดยแช่น้ำเกลือ แช่น้ำกำมะถันหรือน้ำยากันเสียอื่นๆ	
 CHAPTER 09	Coffee, tea, mate and spices.	กาแฟ ชา ชามาเต้ และเครื่องเทศ	
0901	Coffee, whether or not roasted or decaffeinate; coffee husks and skins; coffee substitutes containing coffee in any proportion.
- Coffee, not roasted :	กาแฟ จะคั่วหรือแยกคาเฟอีนออกแล้วหรือไม่ก็ตาม เปลือกและเยื่อของกาแฟ รวมทั้งของที่ใช้แทนกาแฟที่มีกาแฟผสมอยู่ในอัตราส่วนเท่าใดก็ตาม
- กาแฟที่ไม่ได้คั่ว	
0902	Tea, whether or not flavoured.	ชาจะปรุงกลิ่นรสหรือไม่ก็ตาม	
0903	Mate'	ชามาเต้	
0904	Pepper of genus Piper; dried or crushed or ground fruits of the genus
Capsicum or of ther genus Pimenta.	พริกในตระกูลไปเปอร์ รวมทั้งพริกในตระกูลแคปซิกัม หรือตระกูลพิเมนตาที่แห้งหรือบดหรือป่น	
0905	Vanilla.	วานิลา	
0906	Cinnamon and cinnamon-tree flowers.	อบเชยและดอกอบเชย	
0907	Clove (whole fruit, cloves and stems)	กานพลู (ผล ดอก และก้านดอก)	
0908	Nutmeg, mace and cardamoms.	ลูกจันทน์เทศ ดอกจันทน์เทศ และกระวาน	
0909	Seeds of anise, badian, fennel, coriander, cumin ro caraway; juniper berries.	เมล็ดยี่หร่า เมล็ดโป๊ยกั๊ก เมล็ดเทียนข้าวเปลือก เมล็ดผักชี เมล็ดเทียนขาว หรือเมล็ดคาราเวย์ และจูนิเปอร์เบอร์รี่	
0910	Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.	ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอม แขกและเครื่องเทศอื่นๆ	
 CHAPTER 10	Cereals.	ธัญพืช	
1001	Wheat and meslin.	ข้าวสาลีและเมสลิน	
1002	Rye.	ข้าวไรย์	
1003	Barley.	ข้าวบาร์เลย์	
1004	Oats.	ข้าวโอต	
1005	Maize (Corn).	ข้าวโพด	
1006	Rice	ข้าว	
1007	Grain sorghum.	ข้าวซอร์กัม	
1008	Buckwheat, millet and canary seed; other cereals	บักก์ววีต ข้าวฟ่างนกเขาและข้าวนก รวมทั้งเมล็ดธัญพืชอื่นๆ	
 CHAPTER 11	Products of the milling industry; malt; starches; inulin; wheat gluten.	ผลิตภัณฑ์ของอุตสาหกรรมโม่สีเมล็ดธัญพืช มอลต์ สตาร์ช อินูลิน และกลูเทนจากข้าวสาลี	
1101	Wheat or meslin flour.	แป้งข้าวสาลีหรือแป้งเมสลิน	
1102	Cereal flours other than of wheat or meslin.	แป้งธัญพืชอื่นๆ นอกจากแป้งข้าวสาลีหรือแป้งเมสลิน	
1103	Cereal groats, meal and pellets.
- Groats and meal :	เมล็ดหัก แป้งหยาบ และเพลเลตของธัญพืช
- เมล็ดหักและแป้งหยาบ	
1104	Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, roled, flaked or ground.
- Rolled or flaken grains	เมล็ดธัญพืชที่จัดทำโดยวิธีอื่นๆ (เช่น เอาเปลือกออก ทำให้แบน ทำเป็นเกล็ด ทำเป็นเมล็ดกลม ฝานหรือ บดแตก) เว้นแต่เมล็ดข้าวตามประเภทที่ 10.06 นอกจากนี้ให้รวมถึงเยิร์มของธัญพืช ทั้งอันหรือที่ทำให้แบน ทำเป็นเกล็ด หรือบด
- เมล็ดที่ทำให้แบนหรือทกเป็นเกล็ด	
1105	Flour, meal, powder, flakes, granules and pellets of potatoes.	แป้ง แป้งหยาบ ผง เกล็ด เม็ด และเพลเลต ที่ทำจากมันฝรั่ง	
1106	Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8	แป้ง แป้งหยาบ และผง ที่ทำจากพืชผักตระกูลถั่วที่แห้งตามประเภทที่ 07.13 ทำจากสาคูหรือจากรากหรือหัวของพืชตามประเภทที่ 07.14 หรือทำจากผลิตภัณฑ์ในตอนที่ 8	
1107	Malt, whether or not roasted.	มอลต์ จะคั่วหรือไม่ก็ตาม	
1108	Starches; inulin.
- Starches :	สตาร์ช และอินูลิน
- สตาร์ช	
1109	Wheat gluten, whether or not dried.	กลูเทนจากข้าวสาลี จะแห้งหรือไม่ก็ตาม	
 CHAPTER 12	Oil seeds and oleaginous fruits: miscellaneous grains. Seeds and fruit; industrial or medicinal plants; straw and fodder.	เมล็ดพืชและผลไม้ ที่มีน้ำมัน เมล็ดธัญพืช เมล็ดพืชและผลไม้เบ็ดเตล็ดพืชที่ใช้ในอุตสาหกรรมหรือใช้เป็นยา ฟางและหญ้าแห้งที่ใช้เป็นอาหารสัตว์	
1201	Soya beans, whether or not broken.	ถั่วเหลือง จะทำให้แตกหรือไม่ก็ตาม	
1202	Ground-nuts, not roasted or otherwise coked, whether or not shelled or broken.	ถั่วลิสง ที่ไม่ได้คั่วหรือทำให้สุกโดยวิธีอื่น จะเอาเปลือกออกหรือทำให้แตกหรือไม่ก็ตาม	
1203	Copra.	เนื้อมะพร้าวแห้ง (โคปรา)	
1204	Linseed, whether or not broken.	ลินสีด จะทำใหแตกหรือไม่ก็ตาม	
1205	Rape or colza seeds, whether or not broken.	เมล็ดเรปหรือเมล็ดโคลซา จะทำให้แตกหรือไม่ก็ตาม	
1206	Sunflower seeds, whether or not broken	เมล็ดดอกทานตะวัน ทำให้แตกหรือไม่ก็ตาม	
1207	Other oil seeds and oleaginous fruits, whether or not broken.	เมล็ดพืชและผลไม้อื่นๆ ที่มีน้ำมัน จะทำให้แตกหรือไม่ก็ตาม	
